Title,Autor,Date,Place,Country,Category,File_Name,MEAN,R_mean,G_mean,B_mean,STD,R_std,G_std,B_std,ASYMMETRY,R_asy,G_asy,B_asy
 Oda Krohg,Christian Krohg,1888,Skagen, Dinamarca,BLUE,img1215.jpg,93.6333806272052,88.38018148598026,95.1568353254601,97.36312507017529,67.3769550183365,66.62702121749494,64.70351708921929,70.35217916704882,6.546139717102051,2.4954826831817627,4.194091320037842,6.546139717102051
 Dodrecht,Eugene Boudin,1884,Liberec, Chequia,BLUE,img1216.jpg,145.126131735549,143.55551245802243,144.9265379865059,146.89634476211862,59.89040157868042,51.57401780245098,56.92946801481375,69.67134724038681,2.6375153064727783,1.8745936155319207,2.079272508621216,2.6375153064727783
 Young People by the sea,Jens Søndergaard,1947,Copenhagen, Dinamarca,BLUE,img1217.jpg,99.1328549507157,83.79496575447334,100.54196735702112,113.06163174065266,48.235269333095076,43.339814965690586,42.977351217923854,53.1345845782753,0.2648005485534668,1.802434325218201,0.5486986041069031,0.2648005485534668
 Portrait of a Man,Hans Baldung Grien,1514,London, Reino Unido,BLUE,img1218.jpg,63.186211965009356,63.13493043717911,66.15595749675919,60.267747961089725,38.9947336670196,49.885120643422155,33.314631205270146,30.757737187134122,2.3203558921813965,2.223682641983032,2.692329406738281,2.3203558921813965
" Composition T, 50-5",Hans Hartung,1950,Torino, Italia,BLUE,img1219.jpg,86.59335776282974,77.5126111320928,90.56089171064316,91.70657044575323,56.27933242573038,60.35073382813304,56.61002331900259,50.307432176030645,1.0172711610794067,2.7400219440460205,2.7280123233795166,1.0172711610794067
" Composition with Large Blue Plane, Red, Black, Yellow, and Gray",Piet Mondrian,1921,Dallas, Estados Unidos,BLUE,img1220.jpg,154.51591830068696,110.7872898569956,157.76923312476396,194.99123192030132,85.64756169263697,102.54572542724712,62.14639384228017,63.778416295521914,3.916907548904419,5.484651565551758,2.8707709312438965,3.916907548904419
 Young Barley Shoots,KISHIDA Ryusei,1920,Tsu, Japón,BLUE,img1221.jpg,85.66695247135999,81.05064867458074,85.42621645622594,90.52399228327327,33.214439331329736,31.237597390802932,28.38130265419519,38.5143097935972,1.2448482513427734,1.6602684259414673,1.6752724647521973,1.2448482513427734
 São Paulo,Tarsila do Amaral,1924,Sao Paulo, Brasil,BLUE,img1222.jpg,93.07659225537331,85.39930998581184,98.38547908011721,95.44498770019086,56.632838293686106,63.411131379118345,49.884021230611495,54.95192192574338,1.5056915283203125,1.6336730718612669,0.6903554797172546,1.5056915283203125
 World's Columbian Exposition,Theodore Robinson,1894,Bentonville, Estados Unidos,BLUE,img1223.jpg,125.88792713341292,113.5923710561504,125.99180352968796,138.07960681440048,35.97114443949825,29.28004218330596,28.224842566056207,43.90875249569597,0.6448495388031006,1.3830444812774658,1.4676012992858893,0.6448495388031006
 Under a southern sun (Timber splitter's camp),Charles CONDER,1890,Canberra, Australia,BLUE,img1224.jpg,178.8072111246074,163.7842378711633,180.51971542018399,192.117680082475,29.812225822463574,26.17911321699239,19.588698689022387,34.517421110170716,4.397294998168944,1.5926796197891235,3.197986125946045,4.397294998168944
 Claire de lune à Boulogne-sur-Mer (Moonlight in Boulogne-sur-Mer),Theo Van Rysselberghe,1900,Essen, Alemania,BLUE,img1225.jpg,134.82698948987266,116.18106748052956,133.02804968918738,155.27185129990102,36.98544328603524,36.45937477917406,36.017706026883886,26.614073759012083,1.470062494277954,1.0585784912109375,0.8197329640388489,1.470062494277954
 Angels Appearing before the Shepherds,Henry Ossawa Tanner,1910,Washington, Estados Unidos,BLUE,img1226.jpg,96.73352795271973,81.76171033694331,94.71113311353592,113.72774040767996,44.22736955586997,40.016218696405396,42.19856116884326,44.37471880976122,0.4290121197700501,0.6098408102989197,0.7266385555267334,0.4290121197700501
 A Sailing Party (Going for a Sail),Edward H. Potthast,1924,Cincinnati, Estados Unidos,BLUE,img1227.jpg,134.76258816564422,121.80644897875858,138.74511325010974,143.73620226806437,56.401414116893214,65.4012971151036,53.16504571419198,46.63967189301562,-0.055074792355299,-0.5177534222602844,-0.1204310804605484,-0.055074792355299
 The Last War Whoop,Arthur Fitzwilliam Tait,1855,Milwaukee, Estados Unidos,BLUE,img1228.jpg,132.41592068239274,152.07475834192448,126.21487409282528,118.95812961242842,72.11744703747046,47.9946202832176,66.33592062380708,91.06484251925205,1.6039094924926758,2.838961362838745,2.212479591369629,1.6039094924926758
 The End of the Day,Frederic Remington,1904,Ogdensburg, Estados Unidos,BLUE,img1229.jpg,121.85601567842888,106.9124825199808,123.52617664771508,135.12938786759076,58.52360768636626,49.817681832413214,57.164491821701326,64.21196454946096,4.354950904846191,3.7560532093048096,4.609639644622803,4.354950904846191
 From Mleta to Gudauri,Ivan Aivazovsky,1868,Makhachkala, Rusia,BLUE,img1230.jpg,94.6031363662655,79.37520031846809,96.48395921158732,107.95024956874113,37.641377202484776,30.54488551958852,34.21087083108482,41.637400939327264,1.3250724077224731,2.034820318222046,1.2414307594299316,1.3250724077224731
 Purissima,Joseph Stella,1927,Atlanta, GA,BLUE,img1231.jpg,132.21236309444825,124.06771529769621,133.95060682460777,138.61876716104075,55.476821242575284,57.270547347397844,52.035945770211896,55.990883613387965,-0.5607175230979919,-0.7346936464309692,-0.1709897816181183,-0.5607175230979919
 Aeropainting,Osvaldo Peruzzi,1934,Rome, Italia,BLUE,img1232.jpg,119.90991708261456,108.69758801253458,108.98750625197763,142.04465698333146,70.88686951213414,68.59360244096207,68.43859155483146,70.3630556887052,1.6713926792144775,1.6336158514022827,1.2552162408828735,1.6713926792144775
